id,lang,keyword,cluster,subcluster,intent,priority,target_url,status,notes
kw-001,uk,aerocool,brand,core brand,navigation,P0,/,current,"Главный брендовый запрос, покрыт всеми ключевыми страницами."
kw-002,uk,aerocool ukraine,brand,country modifier,navigation,P0,/,current,Англоязычный бренд + страна; полезен для брендовой навигации.
kw-003,uk,aerocool україна,brand,country modifier,navigation,P0,/,current,Локальный брендовый запрос под официальный сайт в Украине.
kw-004,uk,офіційний сайт aerocool,brand,official site,navigation,P0,/,current,"Усилять через главную, About и Organization/schema, без чрезмерных обещаний."
kw-005,uk,крісла aerocool,brand,chairs brand,commercial,P0,/,current,Базовая брендовая категория.
kw-006,uk,ігрові крісла aerocool,brand,gaming brand,commercial,P0,/products/,current,Держать связку home -> catalog -> WING/XTAL.
kw-007,uk,офісні крісла aerocool,brand,office brand,commercial,P0,/products/,current,Держать связку home -> catalog -> SKY/Loft Air/Mesh.
kw-008,uk,комп'ютерні крісла aerocool,brand,computer brand,commercial,P0,/products/,current,Широкий брендовый commercial cluster.
kw-009,uk,ергономічні крісла aerocool,brand,ergonomic brand,commercial investigation,P1,/about/,current,"Поддерживать через About, каталог и статьи."
kw-010,uk,каталог крісел aerocool,brand,catalog,commercial,P0,/products/,current,Основной каталоговый запрос.
kw-011,ru,aerocool,brand,core brand,navigation,P0,/ru/,current,"Главный брендовый запрос, покрыт всеми ключевыми страницами."
kw-012,ru,aerocool ukraine,brand,country modifier,navigation,P0,/ru/,current,Англоязычный бренд + страна; полезен для брендовой навигации.
kw-013,ru,aerocool украина,brand,country modifier,navigation,P0,/ru/,current,Локальный брендовый запрос под официальный сайт в Украине.
kw-014,ru,официальный сайт aerocool,brand,official site,navigation,P0,/ru/,current,"Усилять через главную, About и Organization/schema, без чрезмерных обещаний."
kw-015,ru,кресла aerocool,brand,chairs brand,commercial,P0,/ru/,current,Базовая брендовая категория.
kw-016,ru,игровые кресла aerocool,brand,gaming brand,commercial,P0,/ru/products/,current,Держать связку home -> catalog -> WING/XTAL.
kw-017,ru,офисные кресла aerocool,brand,office brand,commercial,P0,/ru/products/,current,Держать связку home -> catalog -> SKY/Loft Air/Mesh.
kw-018,ru,компьютерные кресла aerocool,brand,computer brand,commercial,P0,/ru/products/,current,Широкий брендовый commercial cluster.
kw-019,ru,эргономичные кресла aerocool,brand,ergonomic brand,commercial investigation,P1,/ru/about/,current,"Поддерживать через About, каталог и статьи."
kw-020,ru,каталог кресел aerocool,brand,catalog,commercial,P0,/ru/products/,current,Основной каталоговый запрос.
kw-021,uk,ігрове крісло,commercial category,gaming chair,commercial investigation,P0,/products/,current,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-022,ru,игровое кресло,commercial category,gaming chair,commercial investigation,P0,/ru/products/,current,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-023,uk,ігрові крісла,commercial category,gaming chairs,commercial investigation,P0,/products/,current,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-024,ru,игровые кресла,commercial category,gaming chairs,commercial investigation,P0,/ru/products/,current,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-025,uk,офісне крісло,commercial category,office chair,commercial investigation,P0,/products/,current,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-026,ru,офисное кресло,commercial category,office chair,commercial investigation,P0,/ru/products/,current,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-027,uk,офісні крісла,commercial category,office chairs,commercial investigation,P0,/products/,current,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-028,ru,офисные кресла,commercial category,office chairs,commercial investigation,P0,/ru/products/,current,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-029,uk,комп'ютерне крісло,commercial category,computer chair,commercial investigation,P0,/products/,current,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-030,ru,компьютерное кресло,commercial category,computer chair,commercial investigation,P0,/ru/products/,current,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
kw-031,uk,комп'ютерні крісла,commercial category,computer chairs,commercial investigation,P0,/products/,current,Безбрендовый спрос; важно не каннибализировать каталог и статьи.
